,code,원정팀,홈팀,A,B,승리팀,승리팀구분,date,week,평균기온,일강수량,풍속,습도,경기장,지점명,year
151,20210508한L,한화,LG,,,우천취소,Away,20210508,토,14.3,0.0,3.4,66.1,서울 잠실 야구장,서울,2021
152,20210508키S,키움,SK,,,우천취소,Away,20210508,토,13.6,0.0,4.5,63.0,인천SSG 랜더스필드,인천,2021
153,20210508키S,키움,SK,,,우천취소,Away,20210508,토,13.6,0.0,4.5,63.0,인천SSG 랜더스필드,인천,2021
154,20210508NK,NC,KT,,,우천취소,Away,20210508,토,13.8,0.0,3.3,72.9,수원케이티위즈파크,수원,2021
155,20210508NK,NC,KT,,,우천취소,Away,20210508,토,13.8,0.0,3.3,72.9,수원케이티위즈파크,수원,2021
156,20210508두기,두산,기아,,,우천취소,Away,20210508,토,16.2,0.0,2.1,58.9,광주-기아 챔피언스 필드,광주,2021
157,20210508두기,두산,기아,,,우천취소,Away,20210508,토,16.2,0.0,2.1,58.9,광주-기아 챔피언스 필드,광주,2021
158,20210508한L,한화,LG,2.0,11.0,LG,Home,20210508,토,14.3,0.0,3.4,66.1,서울 잠실 야구장,서울,2021
159,20210508한L,한화,LG,2.0,11.0,LG,Home,20210508,토,14.3,0.0,3.4,66.1,서울 잠실 야구장,서울,2021
160,20210508키S,키움,SK,9.0,2.0,키움,Away,20210508,토,13.6,0.0,4.5,63.0,인천SSG 랜더스필드,인천,2021
161,20210508키S,키움,SK,9.0,2.0,키움,Away,20210508,토,13.6,0.0,4.5,63.0,인천SSG 랜더스필드,인천,2021
162,20210508롯삼,롯데,삼성,9.0,8.0,롯데,Away,20210508,토,18.1,0.0,2.9,36.9,대구 삼성 라이온즈 파크,대구,2021
163,20210508NK,NC,KT,5.0,4.0,NC,Away,20210508,토,13.8,0.0,3.3,72.9,수원케이티위즈파크,수원,2021
164,20210508NK,NC,KT,5.0,4.0,NC,Away,20210508,토,13.8,0.0,3.3,72.9,수원케이티위즈파크,수원,2021
165,20210508두기,두산,기아,11.0,5.0,두산,Away,20210508,토,16.2,0.0,2.1,58.9,광주-기아 챔피언스 필드,광주,2021
166,20210508두기,두산,기아,11.0,5.0,두산,Away,20210508,토,16.2,0.0,2.1,58.9,광주-기아 챔피언스 필드,광주,2021
167,20210509롯삼,롯데,삼성,6.0,8.0,삼성,Home,20210509,일,19.0,0.0,3.9,30.3,대구 삼성 라이온즈 파크,대구,2021
168,20210509한L,한화,LG,1.0,11.0,LG,Home,20210509,일,15.7,0.0,3.5,51.3,서울 잠실 야구장,서울,2021
169,20210509한L,한화,LG,1.0,11.0,LG,Home,20210509,일,15.7,0.0,3.5,51.3,서울 잠실 야구장,서울,2021
170,20210509키S,키움,SK,1.0,4.0,SK,Home,20210509,일,14.8,0.0,3.8,51.3,인천SSG 랜더스필드,인천,2021
171,20210509키S,키움,SK,1.0,4.0,SK,Home,20210509,일,14.8,0.0,3.8,51.3,인천SSG 랜더스필드,인천,2021
172,20210509NK,NC,KT,16.0,11.0,NC,Away,20210509,일,14.3,0.0,2.9,62.8,수원케이티위즈파크,수원,2021
173,20210509NK,NC,KT,16.0,11.0,NC,Away,20210509,일,14.3,0.0,2.9,62.8,수원케이티위즈파크,수원,2021
174,20210509두기,두산,기아,5.0,3.0,두산,Away,20210509,일,17.5,0.0,1.0,43.8,광주-기아 챔피언스 필드,광주,2021
175,20210509두기,두산,기아,5.0,3.0,두산,Away,20210509,일,17.5,0.0,1.0,43.8,광주-기아 챔피언스 필드,광주,2021
176,20210509한L,한화,LG,5.0,4.0,한화,Away,20210509,일,15.7,0.0,3.5,51.3,서울 잠실 야구장,서울,2021
177,20210509한L,한화,LG,5.0,4.0,한화,Away,20210509,일,15.7,0.0,3.5,51.3,서울 잠실 야구장,서울,2021
178,20210509키S,키움,SK,3.0,4.0,SK,Home,20210509,일,14.8,0.0,3.8,51.3,인천SSG 랜더스필드,인천,2021
179,20210509키S,키움,SK,3.0,4.0,SK,Home,20210509,일,14.8,0.0,3.8,51.3,인천SSG 랜더스필드,인천,2021
