Rank,Name,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Season,Position
18,임기영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20,P
18,양현종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20,P
18,김현준,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20,P
18,브룩스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20,P
22,이정훈,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.320,-141.1,20,C
23,홍종표,40,88,85,80,7,20,3,0,0,23,7,0,2,4,0,0,13,1,3,1,0.250,0.282,0.288,0.570,-0.072,49.6,20,2B
24,김주찬,7,18,18,18,3,6,0,0,1,9,2,0,1,0,0,0,2,2,0,0,0.333,0.333,0.500,0.833,0.005,106.4,20,1B
25,고장혁,7,13,13,13,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0.231,0.231,0.231,0.462,-0.145,-7.6,20,3B
26,최정민,24,11,11,9,12,1,0,0,0,1,2,1,0,2,0,0,1,0,0,0,0.111,0.273,0.111,0.384,-0.144,-7.2,20,2B
27,김영환,4,8,8,7,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0.000,0.125,0.000,0.125,-0.234,-75.5,20,2B
28,문선재,15,6,6,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,-0.189,-41.5,20,RF
29,김규성,103,182,171,157,21,28,2,1,3,41,11,2,1,13,1,0,40,1,11,0,0.178,0.246,0.261,0.507,-0.089,39.0,20,2B
30,이우성,48,67,67,59,5,12,1,0,0,13,3,1,0,6,2,0,11,2,0,0,0.203,0.299,0.220,0.519,-0.076,44.7,20,RF
31,유민상,126,456,453,391,38,96,23,0,8,143,65,0,0,53,6,1,80,14,2,4,0.246,0.341,0.366,0.707,-0.017,90.0,20,1B
