Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
8,박준표,2.13,0.00,0.00,0.00,0.00,0.00,0.00,,1.71,,0.45,,2.13,19,P
9,안치홍,2.01,1.03,-0.01,-0.06,-1.07,0.18,0.32,0.00,0.00,0.00,0.00,0.00,0.00,19,2B
10,이명기,1.96,-0.02,0.00,0.04,0.72,0.13,-0.22,0.00,0.00,0.00,0.00,0.00,0.00,19,RF
11,터커,1.95,1.76,0.00,0.01,-0.96,0.17,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,19,RF
12,박찬호,1.26,-2.39,0.39,0.01,0.48,0.23,0.39,0.00,0.00,0.00,0.00,0.00,0.00,19,3B
13,유민상,1.11,0.81,0.00,-0.08,-0.12,0.09,-0.33,0.00,0.00,0.00,0.00,0.00,0.00,19,1B
14,김기훈,1.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.30,0.04,1.13,0.04,0.92,0.09,19,P
15,임기준,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.28,0.00,0.84,19,P
16,차명진,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.45,0.05,0.65,0.09,19,P
17,터너,0.73,0.00,0.00,0.00,0.00,0.00,0.00,-1.83,0.00,2.18,0.00,0.73,0.00,19,P
18,황윤호,0.68,0.08,-0.07,-0.05,-0.01,0.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,19,2B
19,백용환,0.59,-0.03,0.00,-0.05,0.25,0.02,0.15,0.00,0.00,0.00,0.00,0.00,0.00,19,C
20,한승택,0.59,-1.38,0.02,-0.05,0.15,0.12,0.69,0.00,0.00,0.00,0.00,0.00,0.00,19,C
21,한준수,0.37,0.18,0.00,0.02,0.10,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,19,C
22,고영창,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.38,0.00,0.37,19,P
23,임기영,0.34,0.00,0.00,0.00,0.00,0.00,0.00,-0.25,-0.14,0.58,0.05,0.42,-0.08,19,P
24,김주찬,0.32,-0.19,0.01,0.03,-0.63,0.16,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,19,1B
25,신범수,0.30,-0.07,0.00,-0.01,-0.08,0.03,0.20,0.00,0.00,0.00,0.00,0.00,0.00,19,C
26,박진태,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.08,,0.14,,0.22,,19,P
27,황인준,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.05,0.12,0.02,0.14,-0.02,19,P
28,김윤동,0.09,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,,0.08,,0.09,19,P
29,홍건희,0.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.90,-0.26,0.94,0.07,0.26,-0.17,19,P
30,해즐베이커,0.05,-0.25,-0.02,0.08,-0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,CF
31,하준영,0.04,0.00,0.00,0.00,0.00,0.00,0.00,,-0.35,,0.35,,0.04,19,P
32,최정용,0.03,-0.14,0.00,0.03,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,19,2B
33,홍재호,0.02,-0.23,0.00,0.03,0.13,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,19,2B
34,윤해진,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,19,3B
35,이범호,0.02,-0.13,0.00,0.00,-0.02,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,19,3B
36,이민우,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.81,0.11,0.40,0.21,-0.34,0.36,19,P
37,김승범,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,,-0.03,,0.00,,-0.02,19,P
38,이인행,-0.03,-0.09,0.00,-0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19,RF
39,이진영,-0.09,-0.22,0.00,0.03,0.02,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,19,RF
